topic_uid,topic_name,best_model,best_score,processing_time
T0001,Call to Support the Polar Bear Cub Survival Act,llama-3-8b,0.8928571428571429,326.50821709632874
T0002,Giving Tuesday Fundraising Campaign for Wildlife,stablelm-2-1.6b,0.9655172413793104,143.12181973457336
T0003,Membership Renewal and Urgent Appeal for Endangered Species,phi-3-mini,1.0,132.1518681049347
T0004,Endangered Species Day Virtual Events and Advocacy,llama-3-8b,1.0,149.9174988269806
T0005,Petition to Protect North Atlantic Right Whales from Ship Strikes,stablelm-2-1.6b,1.0,139.34417986869812
T0006,Volunteer Recruitment for HRC Colorado Events,tinyllama-1.1b,0.9285714285714286,136.14415407180786
T0007,Invitation to HRC San Francisco Federal Club Happy Hour,stablelm-2-1.6b,0.90625,158.31593656539917
T0008,HRC Religion and Faith Program Newsletter,llama-3-8b,0.8275862068965517,136.44592714309692
T0009,Update on Combating Anti-LGBTQ+ Legislation Across States,llama-3-8b,0.8484848484848485,134.3850085735321
T0010,Recruitment of Table Captains for HRC Minnesota Dinner,tinyllama-1.1b,0.8333333333333334,132.9794647693634
T0011,The Impact of a Facility Dog at a Children's Home,llama-3-8b,0.23529411764705882,141.25964999198914
T0012,Post-Retreat Reflection and 'March for Kids' Fundraising Launch,vicuna-7b,1.0,147.86647820472717
T0013,Volunteer Appeal for St. Patrick's Day Parade Fundraiser,tinyllama-1.1b,0.9090909090909091,132.40858721733093
T0014,Promotion of 'Have Mercy!' Gala and Auction Items,vicuna-7b,1.0,142.94383788108826
T0015,Supporter Newsletter on Charitable Giving and AfterCare Program,llama-3-8b,1.0,143.219717502594
T0016,New Year's Appeal for Monthly Donors to Amnesty International,phi-3-mini,0.7419354838709677,132.02377438545227
T0017,Urgent Appeal for Imprisoned UAE Activist Ahmed Mansoor,llama-3-8b,0.84375,150.45583820343018
T0018,Update on Released Prisoner and Appeal for a Belarusian Case,vicuna-7b,1.0,141.2363739013672
T0019,Report on Human Rights Abuses in Xinjiang and Global Petition,llama-3-8b,1.0,148.75694918632507
T0020,Appeal to Support Imprisoned Belarusian Human Rights Defender,tinyllama-1.1b,0.9032258064516129,135.75416827201843
T0021,WHYY Radio Times: National Poetry Month and Show Highlights,llama-3-8b,1.0,141.64610648155212
T0022,WHYY News Weekly Digest on Political and Local Events,stablelm-2-1.6b,0.9230769230769231,142.88207149505615
T0023,"Ticket Promotion for 'Wait, Wait...Don’t Tell Me!' Live Show",phi-3-mini,1.0,137.25658321380615
T0024,The Pulse: A Look into Global Water Scarcity Issues,phi-3-mini,1.0,150.82730555534363
T0025,WHYY TV Guide and Program Highlights,llama-3-8b,1.0,141.8923316001892
