topic_uid,topic_name,best_model,best_score,processing_time
T0001,Call to Support the Polar Bear Cub Survival Act,llama-3-8b,1.0,184.15141487121582
T0002,Giving Tuesday Fundraising Campaign for Wildlife,vicuna-7b,1.0,166.2642307281494
T0003,Membership Renewal and Urgent Appeal for Endangered Species,vicuna-7b,1.0,151.9850389957428
T0004,Endangered Species Day Virtual Events and Advocacy,tinyllama-1.1b,0.84375,174.9929883480072
T0005,Petition to Protect North Atlantic Right Whales from Ship Strikes,stablelm-2-1.6b,0.9285714285714286,162.11437678337097
T0006,Volunteer Recruitment for HRC Colorado Events,stablelm-2-1.6b,0.9459459459459459,161.0988929271698
T0007,Invitation to HRC San Francisco Federal Club Happy Hour,tinyllama-1.1b,1.0,189.31960797309875
T0008,HRC Religion and Faith Program Newsletter,tinyllama-1.1b,1.0,161.0844578742981
T0009,Update on Combating Anti-LGBTQ+ Legislation Across States,tinyllama-1.1b,0.9117647058823529,159.79409003257751
T0010,Recruitment of Table Captains for HRC Minnesota Dinner,tinyllama-1.1b,0.9142857142857143,156.17706155776978
T0011,The Impact of a Facility Dog at a Children's Home,phi-3-mini,1.0,164.72345089912415
T0012,Post-Retreat Reflection and 'March for Kids' Fundraising Launch,tinyllama-1.1b,0.9354838709677419,173.51472878456116
T0013,Volunteer Appeal for St. Patrick's Day Parade Fundraiser,vicuna-7b,1.0,157.81412076950073
T0014,Promotion of 'Have Mercy!' Gala and Auction Items,vicuna-7b,0.7777777777777778,189.515389919281
T0015,Supporter Newsletter on Charitable Giving and AfterCare Program,stablelm-2-1.6b,0.9333333333333333,179.88625288009644
T0016,New Year's Appeal for Monthly Donors to Amnesty International,vicuna-7b,1.0,165.78149557113647
T0017,Urgent Appeal for Imprisoned UAE Activist Ahmed Mansoor,phi-3-mini,0.9393939393939394,189.13517951965332
T0018,Update on Released Prisoner and Appeal for a Belarusian Case,llama-3-8b,1.0,166.85672640800476
T0019,Report on Human Rights Abuses in Xinjiang and Global Petition,llama-3-8b,1.0,176.61666131019592
T0020,Appeal to Support Imprisoned Belarusian Human Rights Defender,tinyllama-1.1b,0.8529411764705882,163.5405580997467
T0021,WHYY Radio Times: National Poetry Month and Show Highlights,llama-3-8b,0.8709677419354839,171.73525285720825
T0022,WHYY News Weekly Digest on Political and Local Events,stablelm-2-1.6b,1.0,168.84617686271667
T0023,"Ticket Promotion for 'Wait, Wait...Don’t Tell Me!' Live Show",vicuna-7b,1.0,160.6214804649353
T0024,The Pulse: A Look into Global Water Scarcity Issues,stablelm-2-1.6b,0.9666666666666667,187.87631106376648
T0025,WHYY TV Guide and Program Highlights,llama-3-8b,0.7575757575757576,169.06000971794128
