topic_uid,topic_name,best_model,best_score,processing_time
T0101,Urgent: Help Us Stop Illegal Logging in the Congo Basin,stablelm-2-1.6b-dpo-syn,0.7837837837837838,1369.7881247997284
T0102,Join the Fight to Save the Vaquita Porpoise from Extinction,llama-3-8b-dpo-syn,0.75,932.1881437301636
T0103,World Oceans Day: A Call to Reduce Your Plastic Footprint,phi-3-mini-dpo-syn,0.9090909090909091,472.9906237125397
T0104,Fundraiser for Reforestation Projects in Fire-Ravaged Areas,vicuna-7b-dpo-syn,0.4864864864864865,635.367901802063
T0105,Webinar: The Link Between Climate Change and Extreme Weather,phi-3-mini-dpo-syn,0.3333333333333333,871.1957550048828
T0106,Petition to Establish a New Marine Protected Area,phi-3-mini-dpo-syn,0.8378378378378378,679.3928203582764
T0107,Volunteer for our Annual River Cleanup Day,stablelm-2-1.6b-dpo-syn,0.5172413793103449,760.5526006221771
T0108,Ad-hoc donation for rescued Orangutans from forest fire,vicuna-7b-dpo-syn,0.6666666666666666,674.0485870838165
T0109,Newsletter: Success Stories from our Anti-Poaching Units,vicuna-7b-dpo-syn,0.9411764705882353,1010.5061182975769
T0110,Celebrate Earth Day with a Donation to Protect Our Planet,vicuna-7b-dpo-syn,0.6756756756756757,691.081844329834
T0111,Urgent: Tell Your Senator to Support the Safe Schools Improvement Act,llama-3-8b-dpo-syn,1.0,943.475551366806
T0112,Invitation to Our Annual National Equality Gala,tinyllama-1.1b-dpo-syn,0.5789473684210527,784.992350101471
T0113,Report Launch: The State of LGBTQ+ Rights in the Workplace,stablelm-2-1.6b-dpo-syn,0.525,1041.3055765628815
T0114,Volunteer to Canvass for Pro-Equality Candidates in Your Area,llama-3-8b-dpo-syn,0.6153846153846154,591.1850199699402
T0115,Fundraiser for our Crisis Hotline for LGBTQ+ Youth,vicuna-7b-dpo-syn,0.8285714285714286,1226.0056881904602
T0116,A Guide to Being a Better Ally to the Bisexual Community,llama-3-8b-dpo-syn,0.3225806451612903,1078.775660276413
T0117,Join Our Letter-Writing Campaign Against Discriminatory Bills,phi-3-mini-dpo-syn,0.4117647058823529,980.889643907547
T0118,Celebrating the Anniversary of Marriage Equality,llama-3-8b-dpo-syn,0.7906976744186046,863.4642105102539
T0119,Call for Participants in a Study on LGBTQ+ Senior Healthcare,stablelm-2-1.6b-dpo-syn,0.7941176470588235,887.0085692405701
T0120,Newsletter: Highlighting LGBTQ+ Activists Around the World,tinyllama-1.1b-dpo-syn,0.8378378378378378,1101.2585248947144
T0121,Urgent Need for Foster Parents in Your Community,vicuna-7b-dpo-syn,0.9090909090909091,581.2811014652252
T0122,Help Us Provide School Supplies for Children in Need,vicuna-7b-dpo-syn,0.4722222222222222,1649.7073616981506
T0123,Invitation to our Annual 'Champions for Children' Luncheon,llama-3-8b-dpo-syn,0.8,709.4938502311707
T0124,Fundraiser for a Mobile Library to Reach Underserved Neighborhoods,llama-3-8b-dpo-syn,0.6842105263157895,663.0698390007019
T0125,Volunteer to Read to Children at a Local Hospital,tinyllama-1.1b-dpo-syn,0.9444444444444444,775.7326281070709
T0126,Success Story: How Your Donations Helped a Family in Crisis,llama-3-8b-dpo-syn,0.8,584.02108502388
T0127,Appeal for Gently Used Musical Instruments for our Arts Program,phi-3-mini-dpo-syn,0.9090909090909091,563.237771987915
T0128,Workshop for Parents on Recognizing Signs of Cyberbullying,tinyllama-1.1b-dpo-syn,0.5454545454545454,973.573237657547
T0129,Help Us Build a New Playground for the Community Center,stablelm-2-1.6b-dpo-syn,0.9090909090909091,580.6261858940125
T0130,Newsletter: A Month in Review at the Boys & Girls Club,vicuna-7b-dpo-syn,0.5581395348837209,835.3282477855682
T0131,Demand Accountability for War Crimes in Yemen,vicuna-7b-dpo-syn,0.8823529411764706,972.6594369411469
