topic_uid,topic_name,best_model,best_score,processing_time
T0001,Call to Support the Polar Bear Cub Survival Act,phi-3-mini,0.6666666666666666,848.7091262340546
T0002,Giving Tuesday Fundraising Campaign for Wildlife,phi-3-mini,0.46153846153846156,858.0574431419373
T0003,Membership Renewal and Urgent Appeal for Endangered Species,tinyllama-1.1b,0.3888888888888889,682.3728251457214
T0004,Endangered Species Day Virtual Events and Advocacy,llama-3-8b,0.29411764705882354,675.9327802658081
T0005,Petition to Protect North Atlantic Right Whales from Ship Strikes,vicuna-7b,0.53125,816.3970484733582
T0006,Volunteer Recruitment for HRC Colorado Events,phi-3-mini,0.6285714285714286,830.3198125362396
T0007,Invitation to HRC San Francisco Federal Club Happy Hour,tinyllama-1.1b,1.0,548.984876871109
T0008,HRC Religion and Faith Program Newsletter,tinyllama-1.1b,0.5454545454545454,608.7746777534485
T0009,Update on Combating Anti-LGBTQ+ Legislation Across States,phi-3-mini,0.4,803.3398065567017
T0010,Recruitment of Table Captains for HRC Minnesota Dinner,llama-3-8b,0.3684210526315789,679.288330078125
T0011,The Impact of a Facility Dog at a Children's Home,vicuna-7b,0.6666666666666666,635.3270008563995
T0012,Post-Retreat Reflection and 'March for Kids' Fundraising Launch,tinyllama-1.1b,0.45454545454545453,714.8196773529053
T0013,Volunteer Appeal for St. Patrick's Day Parade Fundraiser,tinyllama-1.1b,1.0,590.9592339992523
T0014,Promotion of 'Have Mercy!' Gala and Auction Items,stablelm-2-1.6b,0.6857142857142857,798.8199284076691
T0015,Supporter Newsletter on Charitable Giving and AfterCare Program,vicuna-7b,0.475,755.8090403079987
T0016,New Year's Appeal for Monthly Donors to Amnesty International,stablelm-2-1.6b,0.7352941176470589,749.7627356052399
T0017,Urgent Appeal for Imprisoned UAE Activist Ahmed Mansoor,vicuna-7b,0.5294117647058824,689.9074902534485
T0018,Update on Released Prisoner and Appeal for a Belarusian Case,vicuna-7b,0.9090909090909091,568.8898029327393
T0019,Report on Human Rights Abuses in Xinjiang and Global Petition,llama-3-8b,0.7222222222222222,646.2763347625732
T0020,Appeal to Support Imprisoned Belarusian Human Rights Defender,llama-3-8b,0.6571428571428571,895.0632946491241
T0021,WHYY Radio Times: National Poetry Month and Show Highlights,llama-3-8b,0.5161290322580645,766.6792976856232
T0022,WHYY News Weekly Digest on Political and Local Events,vicuna-7b,0.7741935483870968,555.9018199443817
T0023,"Ticket Promotion for 'Wait, Wait...Don’t Tell Me!' Live Show",stablelm-2-1.6b,0.7575757575757576,635.1950676441193
T0024,The Pulse: A Look into Global Water Scarcity Issues,llama-3-8b,0.6129032258064516,520.2608597278595
T0025,WHYY TV Guide and Program Highlights,vicuna-7b,0.75,926.018746137619
T0026,Campaign to Protect Amazon Rainforest from Deforestation,llama-3-8b,0.42105263157894735,669.1600484848022
