topic_uid,topic_name,best_model,best_score,processing_time
T0101,Urgent: Help Us Stop Illegal Logging in the Congo Basin,llama-3-8b,0.9166666666666666,844.5635669231415
T0102,Join the Fight to Save the Vaquita Porpoise from Extinction,llama-3-8b,0.7878787878787878,1074.2849097251892
T0103,World Oceans Day: A Call to Reduce Your Plastic Footprint,vicuna-7b,0.6486486486486487,690.3058960437775
T0104,Fundraiser for Reforestation Projects in Fire-Ravaged Areas,vicuna-7b,0.9090909090909091,628.1408569812775
T0105,Webinar: The Link Between Climate Change and Extreme Weather,vicuna-7b,0.8181818181818182,874.2523899078369
T0106,Petition to Establish a New Marine Protected Area,phi-3-mini,0.4634146341463415,1530.115709066391
T0107,Volunteer for our Annual River Cleanup Day,tinyllama-1.1b,0.8,955.7900185585022
T0108,Ad-hoc donation for rescued Orangutans from forest fire,llama-3-8b,0.8648648648648649,933.6387314796448
T0109,Newsletter: Success Stories from our Anti-Poaching Units,phi-3-mini,0.9090909090909091,729.028728723526
T0110,Celebrate Earth Day with a Donation to Protect Our Planet,tinyllama-1.1b,1.0,856.6618657112122
T0111,Urgent: Tell Your Senator to Support the Safe Schools Improvement Act,llama-3-8b,0.9534883720930233,850.8812444210052
T0112,Invitation to Our Annual National Equality Gala,llama-3-8b,0.40625,878.2345156669617
T0113,Report Launch: The State of LGBTQ+ Rights in the Workplace,tinyllama-1.1b,0.8235294117647058,752.0160083770752
T0114,Volunteer to Canvass for Pro-Equality Candidates in Your Area,llama-3-8b,0.42424242424242425,847.2385406494141
T0115,Fundraiser for our Crisis Hotline for LGBTQ+ Youth,vicuna-7b,0.40625,707.6103739738464
T0116,A Guide to Being a Better Ally to the Bisexual Community,llama-3-8b,0.7941176470588235,701.3256099224091
T0117,Join Our Letter-Writing Campaign Against Discriminatory Bills,stablelm-2-1.6b,0.8333333333333334,922.4794280529022
T0118,Celebrating the Anniversary of Marriage Equality,llama-3-8b,0.9285714285714286,812.5844073295593
T0119,Call for Participants in a Study on LGBTQ+ Senior Healthcare,tinyllama-1.1b,0.6774193548387096,877.1953501701355
T0120,Newsletter: Highlighting LGBTQ+ Activists Around the World,vicuna-7b,0.9090909090909091,736.9022350311279
T0121,Urgent Need for Foster Parents in Your Community,tinyllama-1.1b,0.48717948717948717,712.9042274951935
T0122,Help Us Provide School Supplies for Children in Need,phi-3-mini,0.5135135135135135,754.5953228473663
T0123,Invitation to our Annual 'Champions for Children' Luncheon,llama-3-8b,0.7105263157894737,710.1937718391418
T0124,Fundraiser for a Mobile Library to Reach Underserved Neighborhoods,vicuna-7b,0.675,1013.0651943683624
T0125,Volunteer to Read to Children at a Local Hospital,tinyllama-1.1b,0.6666666666666666,919.3974614143372
T0126,Success Story: How Your Donations Helped a Family in Crisis,vicuna-7b,0.8157894736842105,727.2809302806854
T0127,Appeal for Gently Used Musical Instruments for our Arts Program,vicuna-7b,0.9090909090909091,547.4253284931183
T0128,Workshop for Parents on Recognizing Signs of Cyberbullying,stablelm-2-1.6b,1.0,490.12333488464355
T0129,Help Us Build a New Playground for the Community Center,vicuna-7b,0.7,869.1613817214966
T0130,Newsletter: A Month in Review at the Boys & Girls Club,phi-3-mini,0.4523809523809524,735.7196261882782
T0131,Demand Accountability for War Crimes in Yemen,llama-3-8b,0.7058823529411765,798.1329474449158
T0132,Petition to Free Jailed Journalists in Myanmar,llama-3-8b,0.7272727272727273,768.5891742706299
T0133,Fundraiser for Emergency Aid for Displaced Families in Sudan,llama-3-8b,0.8809523809523809,769.3359673023224
T0134,Report: The Use of Facial Recognition Technology to Suppress Dissent,tinyllama-1.1b,0.5,1004.2741696834564
T0135,Call to Action: End Corporate Complicity in Human Rights Abuses,stablelm-2-1.6b,0.6764705882352942,911.3235232830048
T0136,Webinar: The Fight for Clean Water as a Human Right,stablelm-2-1.6b,1.0,642.8602991104126
T0137,Urgent Appeal to Protect Women's Rights Activists in Iran,llama-3-8b,0.5161290322580645,780.7797653675079
T0138,Join Us in Calling for an End to Child Marriage Globally,tinyllama-1.1b,0.4117647058823529,898.3231389522552
T0139,A Look Back: 20 Years of Fighting for Justice at The Hague,vicuna-7b,0.6451612903225806,895.1668331623077
T0140,Newsletter: Updates from the Frontlines of Human Rights Defense,stablelm-2-1.6b,0.75,850.9222323894501
T0141,Your Support is Critical: Help Us Meet Our Spring Fund Drive Goal,stablelm-2-1.6b,0.8529411764705882,990.815105676651
T0142,Invitation to a Preview Screening of Our Newest Documentary,llama-3-8b,0.7058823529411765,1008.8226318359375
T0143,The 'Science Friday' Newsletter: This Week's Biggest Discoveries,vicuna-7b,0.75,914.5226266384125
T0144,We're Hiring! Join Our Team of Award-Winning Journalists,llama-3-8b,0.8823529411764706,942.6159613132477
T0145,Call for Pitches: What Story Should Our Investigative Team Tackle Next?,tinyllama-1.1b,1.0,916.7887840270996
T0146,A Special Message from Your Favorite Public Radio Host,tinyllama-1.1b,1.0,1387.360121011734
T0147,Promotion: Get a Limited-Edition Tote Bag When You Become a Member,vicuna-7b,0.9428571428571428,990.6848118305206
T0148,How Public Media is Combating Misinformation in Your Community,phi-3-mini,0.71875,884.3470413684845
T0149,Special Coverage: Live Election Night Analysis and Results,vicuna-7b,0.8333333333333334,994.5675203800201
T0150,Thank You for Being a Loyal Listener and Supporter,vicuna-7b,1.0,876.4121136665344
